Subject,word,repetition,token,Frame,X,Y
NJ0205c,pan,C,pan_C,25,512,179
NJ0205c,pan,C,pan_C,26,521,185
NJ0205c,pan,C,pan_C,27,528,192
NJ0205c,pan,C,pan_C,28,533,201
NJ0205c,pan,C,pan_C,29,538,210
NJ0205c,pan,C,pan_C,30,542,219
NJ0205c,pan,C,pan_C,31,547,228
NJ0205c,pan,C,pan_C,32,553,236
NJ0205c,pan,C,pan_C,33,559,244
NJ0205c,pan,D,pan_D,1,309,243
NJ0205c,pan,D,pan_D,2,315,235
NJ0205c,pan,D,pan_D,3,322,226
NJ0205c,pan,D,pan_D,4,329,218
NJ0205c,pan,D,pan_D,5,336,210
NJ0205c,pan,D,pan_D,6,343,203
NJ0205c,pan,D,pan_D,7,351,196
NJ0205c,pan,D,pan_D,8,359,189
NJ0205c,pan,D,pan_D,9,368,183
NJ0205c,pan,D,pan_D,10,377,178
NJ0205c,pan,D,pan_D,11,387,173
NJ0205c,pan,D,pan_D,12,396,169
NJ0205c,pan,D,pan_D,13,406,165
NJ0205c,pan,D,pan_D,14,416,162
NJ0205c,pan,D,pan_D,15,426,160
NJ0205c,pan,D,pan_D,16,437,158
NJ0205c,pan,D,pan_D,17,447,156
NJ0205c,pan,D,pan_D,18,457,154
NJ0205c,pan,D,pan_D,19,468,154
NJ0205c,pan,D,pan_D,20,478,155
NJ0205c,pan,D,pan_D,21,488,159
NJ0205c,pan,D,pan_D,22,498,164
NJ0205c,pan,D,pan_D,23,506,170
NJ0205c,pan,D,pan_D,24,514,177
NJ0205c,pan,D,pan_D,25,521,185
NJ0205c,pan,D,pan_D,26,527,193
NJ0205c,pan,D,pan_D,27,533,203
NJ0205c,pan,D,pan_D,28,538,212
NJ0205c,pan,D,pan_D,29,543,221
NJ0205c,pan,D,pan_D,30,550,229
NJ0205c,pan,D,pan_D,31,557,237
NJ0205c,pan,D,pan_D,32,564,244
NJ0205c,pan,D,pan_D,33,571,252
NJ0205c,pan,E,pan_E,1,293,234
NJ0205c,pan,E,pan_E,2,300,226
NJ0205c,pan,E,pan_E,3,306,217
NJ0205c,pan,E,pan_E,4,315,210
NJ0205c,pan,E,pan_E,5,324,204
NJ0205c,pan,E,pan_E,6,333,198
NJ0205c,pan,E,pan_E,7,341,191
NJ0205c,pan,E,pan_E,8,350,184
NJ0205c,pan,E,pan_E,9,359,179
NJ0205c,pan,E,pan_E,10,369,174
NJ0205c,pan,E,pan_E,11,379,171
NJ0205c,pan,E,pan_E,12,390,169
NJ0205c,pan,E,pan_E,13,401,168
NJ0205c,pan,E,pan_E,14,412,165
NJ0205c,pan,E,pan_E,15,422,163
NJ0205c,pan,E,pan_E,16,433,161
NJ0205c,pan,E,pan_E,17,444,160
NJ0205c,pan,E,pan_E,18,455,161
