Subject,repetition,word,token,Frame,X,Y
NJ0205a,B,pan,B_pan,18,440,161
NJ0205a,B,pan,B_pan,19,452,159
NJ0205a,B,pan,B_pan,20,463,157
NJ0205a,B,pan,B_pan,21,475,157
NJ0205a,B,pan,B_pan,22,487,159
NJ0205a,B,pan,B_pan,23,498,163
NJ0205a,B,pan,B_pan,24,509,167
NJ0205a,B,pan,B_pan,25,519,172
NJ0205a,B,pan,B_pan,26,529,179
NJ0205a,B,pan,B_pan,27,538,187
NJ0205a,B,pan,B_pan,28,545,196
NJ0205a,B,pan,B_pan,29,553,204
NJ0205a,B,pan,B_pan,30,561,214
NJ0205a,B,pan,B_pan,31,568,223
NJ0205a,B,pan,B_pan,32,576,231
NJ0205a,B,pan,B_pan,33,585,239
NJ0205a,C,pan,C_pan,1,267,254
NJ0205a,C,pan,C_pan,2,277,248
NJ0205a,C,pan,C_pan,3,287,243
NJ0205a,C,pan,C_pan,4,297,238
NJ0205a,C,pan,C_pan,5,306,233
NJ0205a,C,pan,C_pan,6,316,228
NJ0205a,C,pan,C_pan,7,326,222
NJ0205a,C,pan,C_pan,8,335,217
NJ0205a,C,pan,C_pan,9,345,211
NJ0205a,C,pan,C_pan,10,354,206
NJ0205a,C,pan,C_pan,11,365,202
NJ0205a,C,pan,C_pan,12,374,197
NJ0205a,C,pan,C_pan,13,384,191
NJ0205a,C,pan,C_pan,14,394,186
NJ0205a,C,pan,C_pan,15,404,181
NJ0205a,C,pan,C_pan,16,414,176
NJ0205a,C,pan,C_pan,17,424,172
NJ0205a,C,pan,C_pan,18,434,168
NJ0205a,C,pan,C_pan,19,445,165
NJ0205a,C,pan,C_pan,20,455,162
NJ0205a,C,pan,C_pan,21,466,162
NJ0205a,C,pan,C_pan,22,477,163
NJ0205a,C,pan,C_pan,23,488,165
NJ0205a,C,pan,C_pan,24,499,169
NJ0205a,C,pan,C_pan,25,509,172
NJ0205a,C,pan,C_pan,26,520,176
NJ0205a,C,pan,C_pan,27,529,182
NJ0205a,C,pan,C_pan,28,537,188
NJ0205a,C,pan,C_pan,29,547,194
NJ0205a,C,pan,C_pan,30,556,200
NJ0205a,C,pan,C_pan,31,566,206
NJ0205a,C,pan,C_pan,32,575,212
NJ0205a,C,pan,C_pan,33,584,218
NJ0205a,D,pan,D_pan,1,301,254
NJ0205a,D,pan,D_pan,2,311,250
NJ0205a,D,pan,D_pan,3,321,246
NJ0205a,D,pan,D_pan,4,331,241
NJ0205a,D,pan,D_pan,5,340,235
NJ0205a,D,pan,D_pan,6,349,228
NJ0205a,D,pan,D_pan,7,357,220
NJ0205a,D,pan,D_pan,8,364,212
NJ0205a,D,pan,D_pan,9,372,204
NJ0205a,D,pan,D_pan,10,380,197
NJ0205a,D,pan,D_pan,11,389,190
NJ0205a,D,pan,D_pan,12,398,185
NJ0205a,D,pan,D_pan,13,408,179
NJ0205a,D,pan,D_pan,14,417,173
NJ0205a,D,pan,D_pan,15,426,167
NJ0205a,D,pan,D_pan,16,436,163
NJ0205a,D,pan,D_pan,17,447,160
NJ0205a,D,pan,D_pan,18,458,157
NJ0205a,D,pan,D_pan,19,469,156
NJ0205a,D,pan,D_pan,20,480,157
NJ0205a,D,pan,D_pan,21,491,158
NJ0205a,D,pan,D_pan,22,501,161
NJ0205a,D,pan,D_pan,23,511,167
NJ0205a,D,pan,D_pan,24,519,174
NJ0205a,D,pan,D_pan,25,526,183
NJ0205a,D,pan,D_pan,26,531,193
NJ0205a,D,pan,D_pan,27,537,202
NJ0205a,D,pan,D_pan,28,543,211
NJ0205a,D,pan,D_pan,29,549,220
NJ0205a,D,pan,D_pan,30,556,229
NJ0205a,D,pan,D_pan,31,562,238
NJ0205a,D,pan,D_pan,32,568,247
NJ0205a,D,pan,D_pan,33,575,255
NJ0205a,E,pan,E_pan,1,256,260
NJ0205a,E,pan,E_pan,2,265,254
NJ0205a,E,pan,E_pan,3,275,248
NJ0205a,E,pan,E_pan,4,285,243
NJ0205a,E,pan,E_pan,5,295,238
NJ0205a,E,pan,E_pan,6,305,232
NJ0205a,E,pan,E_pan,7,315,227
NJ0205a,E,pan,E_pan,8,325,222
NJ0205a,E,pan,E_pan,9,335,218
NJ0205a,E,pan,E_pan,10,346,214
NJ0205a,E,pan,E_pan,11,356,209
NJ0205a,E,pan,E_pan,12,366,203
NJ0205a,E,pan,E_pan,13,375,197
NJ0205a,E,pan,E_pan,14,385,191
NJ0205a,E,pan,E_pan,15,395,186
NJ0205a,E,pan,E_pan,16,405,181
NJ0205a,E,pan,E_pan,17,415,176
NJ0205a,E,pan,E_pan,18,424,170
NJ0205a,E,pan,E_pan,19,434,164
NJ0205a,E,pan,E_pan,20,444,160
NJ0205a,E,pan,E_pan,21,455,158
NJ0205a,E,pan,E_pan,22,466,158
NJ0205a,E,pan,E_pan,23,478,158
NJ0205a,E,pan,E_pan,24,489,160
NJ0205a,E,pan,E_pan,25,500,161
NJ0205a,E,pan,E_pan,26,511,165
NJ0205a,E,pan,E_pan,27,520,170
NJ0205a,E,pan,E_pan,28,529,177
NJ0205a,E,pan,E_pan,29,538,185
NJ0205a,E,pan,E_pan,30,547,191
NJ0205a,E,pan,E_pan,31,556,197
NJ0205a,E,pan,E_pan,32,563,206
NJ0205a,E,pan,E_pan,33,568,217
NJ0205a,F,pan,F_pan,1,259,257
NJ0205a,F,pan,F_pan,2,270,253
NJ0205a,F,pan,F_pan,3,281,250
NJ0205a,F,pan,F_pan,4,293,246
NJ0205a,F,pan,F_pan,5,303,242
NJ0205a,F,pan,F_pan,6,314,236
NJ0205a,F,pan,F_pan,7,324,231
NJ0205a,F,pan,F_pan,8,333,224
NJ0205a,F,pan,F_pan,9,341,215
NJ0205a,F,pan,F_pan,10,349,207
NJ0205a,F,pan,F_pan,11,359,200
NJ0205a,F,pan,F_pan,12,368,193
NJ0205a,F,pan,F_pan,13,378,186
NJ0205a,F,pan,F_pan,14,388,180
NJ0205a,F,pan,F_pan,15,399,175
NJ0205a,F,pan,F_pan,16,409,170
NJ0205a,F,pan,F_pan,17,420,165
NJ0205a,F,pan,F_pan,18,430,159
NJ0205a,F,pan,F_pan,19,440,154
NJ0205a,F,pan,F_pan,20,452,151
NJ0205a,F,pan,F_pan,21,463,151
NJ0205a,F,pan,F_pan,22,475,153
NJ0205a,F,pan,F_pan,23,486,157
NJ0205a,F,pan,F_pan,24,497,161
NJ0205a,F,pan,F_pan,25,508,165
NJ0205a,F,pan,F_pan,26,518,170
NJ0205a,F,pan,F_pan,27,528,176
NJ0205a,F,pan,F_pan,28,538,183
NJ0205a,F,pan,F_pan,29,547,190
NJ0205a,F,pan,F_pan,30,556,198
NJ0205a,F,pan,F_pan,31,565,205
NJ0205a,F,pan,F_pan,32,575,212
NJ0205a,F,pan,F_pan,33,585,218
NJ0205a,G,pan,G_pan,1,247,258
NJ0205a,G,pan,G_pan,2,258,253
NJ0205a,G,pan,G_pan,3,269,248
NJ0205a,G,pan,G_pan,4,280,242
NJ0205a,G,pan,G_pan,5,290,236
NJ0205a,G,pan,G_pan,6,301,231
NJ0205a,G,pan,G_pan,7,312,225
NJ0205a,G,pan,G_pan,8,322,219
NJ0205a,G,pan,G_pan,9,332,211
NJ0205a,G,pan,G_pan,10,341,204
NJ0205a,G,pan,G_pan,11,352,198
NJ0205a,G,pan,G_pan,12,363,193
NJ0205a,G,pan,G_pan,13,374,189
NJ0205a,G,pan,G_pan,14,386,185
NJ0205a,G,pan,G_pan,15,397,180
